number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,timestamp
2010,lyon,2010 - CONFLUENCE / DARSE,ANGLE ALLEE ANDRE MURE ET QUAI ANTOINE RIBOUD,"{'lat': 45.743317, 'lng': 4.815747}",False,False,22,11,11,OPEN,1748880868000,2025-06-02 16:15:05
5015,lyon,5015 - FULCHIRON,Devant le n°41 rue de la Quarantaine,"{'lat': 45.75197, 'lng': 4.821662}",False,False,19,17,2,OPEN,1748880828000,2025-06-02 16:15:05
32001,lyon,32001 - COUZON - CENTRE,,"{'lat': 45.846034, 'lng': 4.832409}",False,False,17,2,15,OPEN,1748880780000,2025-06-02 16:15:05
6004,lyon,6004 - FOCH,Angle rue Vendôme,"{'lat': 45.768896, 'lng': 4.844845}",False,False,20,17,2,OPEN,1748880701000,2025-06-02 16:15:05
7035,lyon,7035 - MARSEILLE / UNIVERSITÉ,Angle rue de Marseille,"{'lat': 45.750945, 'lng': 4.83927}",False,False,40,20,20,OPEN,1748880869000,2025-06-02 16:15:05
10120,lyon,10120 - SALENGRO / DESCARTES,41 AV. ROGER SALENGRO (VILLEURBANNE),"{'lat': 45.776239, 'lng': 4.871634}",False,False,15,13,2,OPEN,1748880801000,2025-06-02 16:15:05
5016,lyon,5016 - POINT DU JOUR / GRANGES,Devant la mairie du 5°,"{'lat': 45.756204, 'lng': 4.802727}",False,False,13,7,6,OPEN,1748880822000,2025-06-02 16:15:05
9013,lyon,9013 - QUAI PAUL SÉDALLIAN,Angle rue de la Navigation,"{'lat': 45.787522, 'lng': 4.814418}",False,False,20,14,6,OPEN,1748880816000,2025-06-02 16:15:05
10028,lyon,10028 - ECOLE DE MUSIQUE,Cours de la République/Angle Anatole France,"{'lat': 45.767467, 'lng': 4.874032}",False,False,24,7,16,OPEN,1748880866000,2025-06-02 16:15:05
6041,lyon,6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,50 QUAI ACHILLE LIGNON,"{'lat': 45.78458, 'lng': 4.859664}",False,False,22,13,9,OPEN,1748880722000,2025-06-02 16:15:05
15002,lyon,15002 - ST PRIEST - CITE BERLIET,,"{'lat': 45.70597, 'lng': 4.900886}",False,False,20,12,8,OPEN,1748880586000,2025-06-02 16:15:05
10005,lyon,10005 - 11 NOVEMBRE,Face Entrée du Parc de la Tête d'Or**,"{'lat': 45.779702, 'lng': 4.860029}",False,False,35,15,20,OPEN,1748880827000,2025-06-02 16:15:05
4012,lyon,4012 - PLACE ADRIEN GODIEN,Angle montée de la Boucle,"{'lat': 45.778767, 'lng': 4.841109}",False,False,30,9,21,OPEN,1748880869000,2025-06-02 16:15:05
11004,lyon,11004 - CALUIRE - BRANLY / PASTEUR,,"{'lat': 45.79169, 'lng': 4.843452}",False,False,15,0,14,OPEN,1748880796000,2025-06-02 16:15:05
16002,lyon,16002 - VÉNISSIEUX - LÉVY / VIENNE,,"{'lat': 45.719399, 'lng': 4.854681}",False,False,18,14,4,OPEN,1748880858000,2025-06-02 16:15:05
3009,lyon,3009 - MUSEE AFRICAIN,133 COURS GAMBETTA,"{'lat': 45.750251, 'lng': 4.857919}",False,False,22,17,4,OPEN,1748880867000,2025-06-02 16:15:05
10122,lyon,10122 - VERDUN / DESGRAND,17 RUE DE VERDUN (VILLEURBANNE),"{'lat': 45.784023, 'lng': 4.897102}",False,False,21,19,2,OPEN,1748880858000,2025-06-02 16:15:05
16001,lyon,16001 - VENISSIEUX - PLACE ROMAND,,"{'lat': 45.725891, 'lng': 4.858428}",False,False,20,8,12,OPEN,1748880712000,2025-06-02 16:15:05
10091,lyon,10091 - CHÂTEAU GAILLARD / FORT,28 RUE DU CHÂTEAU GAILLARD (VILLEURBANNE),"{'lat': 45.774754, 'lng': 4.887977}",False,False,16,10,6,OPEN,1748880848000,2025-06-02 16:15:05
2021,lyon,2021 - RAMBAUD / ECOLE DU CINÉMA,,"{'lat': 45.745824, 'lng': 4.817176}",False,False,30,23,7,OPEN,1748880868000,2025-06-02 16:15:05
4025,lyon,4025 - CHAZIÈRE,29 RUE CHAZIERE,"{'lat': 45.775425, 'lng': 4.817888}",False,False,20,5,12,OPEN,1748880709000,2025-06-02 16:15:05
10113,lyon,10113 - GARE DE VILLEURBANNE,49 AV. GENERAL LECLERC (VILLEURBANNE),"{'lat': 45.755768, 'lng': 4.891542}",False,False,22,19,2,OPEN,1748880756000,2025-06-02 16:15:05
4023,lyon,4023 - PONT MASARYK,Face au 45 quai Gillet,"{'lat': 45.778175, 'lng': 4.810716}",False,False,22,12,9,OPEN,1748880742000,2025-06-02 16:15:05
3066,lyon,3066 - KIMMERLING / FAURE,139 AV. FELIX FAURE,"{'lat': 45.754296, 'lng': 4.86359}",False,False,19,18,0,OPEN,1748880820000,2025-06-02 16:15:05
10111,lyon,10111 - CHARLES HERNU,,"{'lat': 45.770309, 'lng': 4.86196}",False,False,20,10,5,OPEN,1748880524000,2025-06-02 16:15:05
5040,lyon,5040 - PLACE CRÉPU,7 PLACE BENOIT CREPU,"{'lat': 45.757847, 'lng': 4.826103}",False,False,20,14,6,OPEN,1748880676000,2025-06-02 16:15:05
7008,lyon,7008 - JEAN JAURÈS / GUILLOTIÈRE,Avenue Jean Jaurès - Angle rue de la Guillotière,"{'lat': 45.75251, 'lng': 4.846278}",False,False,10,7,2,OPEN,1748880803000,2025-06-02 16:15:05
7024,lyon,7024 - BANCEL / CHEVREUL,6 RUE BANCEL,"{'lat': 45.748504, 'lng': 4.840505}",False,False,21,13,8,OPEN,1748880867000,2025-06-02 16:15:05
